scinam,genus_species,genus,species,peak_frequency,perc_forest_cover,n_ind,family,body_mass,body_mass_M,body_mass_F,SSD_bm,male_wing_avg,female_wing_avg,SSD,habitat_type
amphispiza,Amphispiza_bilineata,Amphispiza,bilineata,4651.2,3.375,5,emberizidae,13.5,,,,67.3,64.5,0.01845535,0
amytornis,Amytornis_goyderi,Amytornis,goyderi,7321.3,0,2,maluridae,16.7,17,16.4,0.015605073,59.5,57.7,0.013341153,0
amytornis,Amytornis_housei,Amytornis,housei,4651.2,49.75,1,maluridae,28.95,30.2,27.7,0.037527174,74.65,72.35,0.013591277,0
amytornis,Amytornis_merrotsyi,Amytornis,merrotsyi,8268.8,1.875,1,maluridae,22.5,,,,62.55,60.9,0.011610021,0
amytornis,Amytornis_purnelli,Amytornis,purnelli,7752,7.888888889,1,maluridae,21,22,20,0.041392685,63.48,61.63,0.01284475,1
amytornis,Amytornis_striatus,Amytornis,striatus,7579.7,33.42857143,3,maluridae,19.65,20.2,19.1,0.024318002,62.32,59.38,0.020987251,0
amytornis,Amytornis_textilis,Amytornis,textilis,7752,7.625,1,maluridae,23.05,24,22.1,0.035818968,63.8,62.58,0.00838512,0
anabacerthia,Anabacerthia_amaurotis,Anabacerthia,amaurotis,6718.4,96.88888889,3,furnariidae,19.2,,,,,,,2
anabacerthia,Anabacerthia_striaticollis,Anabacerthia,striaticollis,5684.9,100,5,furnariidae,24.8,,,,,,,2
anabacerthia,Anabacerthia_variegaticeps,Anabacerthia,variegaticeps,6373.8,94.375,5,furnariidae,27.8,,,,88.3,80.1,0.042328187,2
anabazenops,Anabazenops_dorsalis,Anabazenops,dorsalis,1894.9,100,5,furnariidae,35.4,,,,,,,2
anabazenops,Anabazenops_fuscus,Anabazenops,fuscus,2411.7,96.875,5,furnariidae,38.4,,,,,,,2
anairetes,Anairetes_agilis,Anairetes,agilis,6460,60.6875,4,tyrannidae,10.1,,,,,,,2
anairetes,Anairetes_agraphia,Anairetes,agraphia,7407.4,80.57142857,1,tyrannidae,9.9,,,,,,,2
anairetes,Anairetes_alpinus,Anairetes,alpinus,4651.2,3,2,tyrannidae,9,,,,,,,2
anairetes,Anairetes_flavirostris,Anairetes,flavirostris,4909.6,4,4,tyrannidae,6,,,,,,,1
anairetes,Anairetes_nigrocristatus,Anairetes,nigrocristatus,3789.8,39,5,tyrannidae,9.2,,,,,,,1
anairetes,Anairetes_parulus,Anairetes,parulus,5340.2,31.5,5,tyrannidae,6.2,,,,,,,1
anairetes,Anairetes_reguloides,Anairetes,reguloides,4909.55,11.83333333,2,tyrannidae,5.9,,,,,,,1
anaplectes,Anaplectes_rubriceps,Anaplectes,rubriceps,6890.6,32.25,1,ploceidae,22.6,23.6,21.6,0.038458252,83.15,78.15,0.026933271,1
ancistrops,Ancistrops_strigilatus,Ancistrops,strigilatus,2584,98.125,5,furnariidae,35.9,,,,,,,2
andropadus,Andropadus_ansorgei,Andropadus,ansorgei,3014.65,88.16666667,4,pycnonotidae,18.7,,,,74.1,70,0.024720168,2
andropadus,Andropadus_curvirostris,Andropadus,curvirostris,2497.85,100,4,pycnonotidae,24.9,,,,77.3,73.3,0.023075519,2
andropadus,Andropadus_gracilirostris,Andropadus,gracilirostris,2411.7,87.75,3,pycnonotidae,31.25,30.7,31.8,-0.015288745,86.3,85.1,0.006081236,2
